"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 113 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 113.","3.20","ASM259213v1","ensembl","http://www.ensembl.org","113","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Abrachyrhynchus.v113.sqlite","EnsDb.Abrachyrhynchus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 113.","3.20","fAstCal1.3","ensembl","http://www.ensembl.org","113","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acalliptera.v113.sqlite","EnsDb.Acalliptera.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 113.","3.20","AnoCar2.0v2","ensembl","http://www.ensembl.org","113","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acarolinensis.v113.sqlite","EnsDb.Acarolinensis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Aquila chrysaetos chrysaetos","Gene and protein annotations for Aquila chrysaetos chrysaetos based on Ensembl version 113.","3.20","bAquChr1.2","ensembl","http://www.ensembl.org","113","Aquila chrysaetos chrysaetos","223781",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Achrysaetos_chrysaetos.v113.sqlite","EnsDb.Achrysaetos_chrysaetos.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 113.","3.20","Midas_v5","ensembl","http://www.ensembl.org","113","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acitrinellus.v113.sqlite","EnsDb.Acitrinellus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 113.","3.20","ASM394721v1","ensembl","http://www.ensembl.org","113","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acollaria.v113.sqlite","EnsDb.Acollaria.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 113.","3.20","athCun1","ensembl","http://www.ensembl.org","113","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acunicularia.v113.sqlite","EnsDb.Acunicularia.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 113.","3.20","GooseV1.0","ensembl","http://www.ensembl.org","113","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Acygnoides.v113.sqlite","EnsDb.Acygnoides.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 113.","3.20","aptHaa1","ensembl","http://www.ensembl.org","113","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ahaastii.v113.sqlite","EnsDb.Ahaastii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 113.","3.20","ASM200744v2","ensembl","http://www.ensembl.org","113","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Amelanoleuca.v113.sqlite","EnsDb.Amelanoleuca.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
